layer,matrix,record,strategy,variant,eig_imag_max,eig_max,eig_min,erank,fro,n_sv_gt_0.01,n_sv_gt_0.5,quota,quota_a,quota_b,rel_fro,sym_err,top10_align,top32_align,trace
5,C_success,V1_vs_V0,global_a1.0,V1|V0,,,,,,,,,0.0589412,0.0895375,0.363069,,0.55663,0.920342,
5,C_failure,V1_vs_V0,global_a1.0,V1|V0,,,,,,,,,0.0613769,0.0922407,0.361284,,0.521327,0.923496,
5,C_contrastive,V1_vs_V0,global_a1.0,V1|V0,,,,,,,,,0.0183964,0.0364038,0.684678,,0.43943,0.447619,
5,C_success,V2_vs_V1,global_a1.0,V2|V1,,,,,,,,,0.0582108,0.0589412,0.112147,,0.900093,0.968667,
5,C_failure,V2_vs_V1,global_a1.0,V2|V1,,,,,,,,,0.060652,0.0613769,0.110326,,0.899872,0.968732,
5,C_contrastive,V2_vs_V1,global_a1.0,V2|V1,,,,,,,,,0.0183432,0.0183964,0.138575,,0.973172,0.963981,
5,C_success,V3_vs_V2,global_a1.0,V3|V2,,,,,,,,,0.0582108,0.0582108,5.1123e-11,,1,1,
5,C_failure,V3_vs_V2,global_a1.0,V3|V2,,,,,,,,,0.060652,0.060652,2.85177e-11,,1,1,
5,C_contrastive,V3_vs_V2,global_a1.0,V3|V2,,,,,,,,,0.01825,0.0183432,0.10688,,0.908605,0.994664,
5,C_success,V0_vs_V3,global_a1.0,V0|V3,,,,,,,,,0.0895375,0.0582108,0.441058,,0.562971,0.93607,
5,C_failure,V0_vs_V3,global_a1.0,V0|V3,,,,,,,,,0.0922407,0.060652,0.438839,,0.546045,0.934772,
5,C_contrastive,V0_vs_V3,global_a1.0,V0|V3,,,,,,,,,0.0364038,0.01825,0.9953,,0.406074,0.442555,
5,C_success,diagnostic,global_a2.0,V0,0,0.99996,0.00132238,327.629,9.79187,676,120,0.146539,,,,8.55102e-11,,,150.056
5,C_failure,diagnostic,global_a2.0,V0,0,0.99996,0.00153982,342.863,9.94161,711,124,0.152242,,,,9.97674e-11,,,155.895
5,C_contrastive,diagnostic,global_a2.0,V0,0.000220239,0.404052,4.01536e-05,444.127,3.58745,639,0,0.0627625,,,,0.13761,,,64.2688
5,C_success,diagnostic,global_a2.0,V1,0,0.999959,3.87205e-05,179.001,7.88748,354,74,0.0876964,,,,1.68756e-10,,,89.8011
5,C_failure,diagnostic,global_a2.0,V1,0,0.999959,0.00010923,199.084,8.04752,397,78,0.0935422,,,,8.28003e-11,,,95.7872
5,C_contrastive,diagnostic,global_a2.0,V1,0.00022583,0.403721,3.87059e-05,245.38,2.54695,324,0,0.0320247,,,,0.193202,,,32.7933
5,C_success,diagnostic,global_a2.0,V2,0,0.999517,3.87105e-05,178.581,7.8379,353,73,0.0869311,,,,9.68289e-11,,,89.0175
5,C_failure,diagnostic,global_a2.0,V2,0,0.999543,0.000109143,198.736,7.99939,397,77,0.0927865,,,,1.19461e-11,,,95.0134
5,C_contrastive,diagnostic,global_a2.0,V2,1.12549e-06,0.403731,3.8703e-05,245.425,2.54622,324,0,0.0320184,,,,0.19234,,,32.7869
5,C_success,diagnostic,global_a2.0,V3,0,0.999517,3.87105e-05,178.581,7.8379,353,73,0.0869311,,,,0,,,89.0175
5,C_failure,diagnostic,global_a2.0,V3,0,0.999543,0.000109143,198.736,7.99939,397,77,0.0927865,,,,0,,,95.0134
5,C_contrastive,diagnostic,global_a2.0,V3,0,0.39171,3.87105e-05,245.898,2.49112,320,0,0.0317534,,,,1.48097e-10,,,32.5155
5,C_success,V1_vs_V0,global_a2.0,V1|V0,,,,,,,,,0.0876964,0.146539,0.447043,,0.556649,0.920342,
5,C_failure,V1_vs_V0,global_a2.0,V1|V0,,,,,,,,,0.0935422,0.152242,0.435585,,0.52133,0.923495,
5,C_contrastive,V1_vs_V0,global_a2.0,V1|V0,,,,,,,,,0.0320247,0.0627625,0.677969,,0.415657,0.31906,
5,C_success,V2_vs_V1,global_a2.0,V2|V1,,,,,,,,,0.0869311,0.0876964,0.099359,,0.900093,0.968667,
5,C_failure,V2_vs_V1,global_a2.0,V2|V1,,,,,,,,,0.0927865,0.0935422,0.0961598,,0.899872,0.968732,
5,C_contrastive,V2_vs_V1,global_a2.0,V2|V1,,,,,,,,,0.0320184,0.0320247,0.0885545,,0.981406,0.991007,
5,C_success,V3_vs_V2,global_a2.0,V3|V2,,,,,,,,,0.0869311,0.0869311,1.12308e-10,,1,1,
5,C_failure,V3_vs_V2,global_a2.0,V3|V2,,,,,,,,,0.0927865,0.0927865,8.79057e-11,,1,1,
5,C_contrastive,V3_vs_V2,global_a2.0,V3|V2,,,,,,,,,0.0317534,0.0320184,0.134653,,0.971719,0.98294,
5,C_success,V0_vs_V3,global_a2.0,V0|V3,,,,,,,,,0.146539,0.0869311,0.567609,,0.563002,0.936071,
5,C_failure,V0_vs_V3,global_a2.0,V0|V3,,,,,,,,,0.152242,0.0927865,0.550158,,0.546047,0.934772,
5,C_contrastive,V0_vs_V3,global_a2.0,V0|V3,,,,,,,,,0.0627625,0.0317534,0.984282,,0.387569,0.309615,
5,C_success,diagnostic,global_a10.0,V0,0,0.999998,0.0320425,767.479,17.7865,1024,402,0.446481,,,,2.26179e-10,,,457.197
5,C_failure,diagnostic,global_a10.0,V0,0,0.999998,0.0371236,789.3,18.2093,1024,422,0.465689,,,,1.75428e-10,,,476.866
5,C_contrastive,diagnostic,global_a10.0,V0,0.000205796,0.451061,1.62531e-06,792.689,6.49545,951,0,0.16812,,,,0.14753,,,172.154
5,C_success,diagnostic,global_a10.0,V1,0,0.999998,0.000967114,463.049,13.2209,793,221,0.248984,,,,2.40104e-10,,,254.959
5,C_failure,diagnostic,global_a10.0,V1,0,0.999998,0.0027236,525.988,13.8358,911,242,0.277272,,,,2.86376e-10,,,283.927
5,C_contrastive,diagnostic,global_a10.0,V1,0.000431591,0.513052,1.65807e-06,523.362,5.0154,740,2,0.0975532,,,,0.299212,,,99.8945
5,C_success,diagnostic,global_a10.0,V2,0,0.999981,0.000966865,462.755,13.1939,793,220,0.248347,,,,1.37877e-10,,,254.307
5,C_failure,diagnostic,global_a10.0,V2,0,0.999982,0.00272145,525.777,13.8107,911,241,0.276665,,,,1.89289e-10,,,283.305
5,C_contrastive,diagnostic,global_a10.0,V2,0.000555396,0.514132,1.82373e-05,523.647,5.01781,740,2,0.0976296,,,,0.299362,,,99.9727
5,C_success,diagnostic,global_a10.0,V3,0,0.999981,0.000966865,462.755,13.1939,793,220,0.248347,,,,0,,,254.307
5,C_failure,diagnostic,global_a10.0,V3,0,0.999982,0.00272145,525.777,13.8107,911,241,0.276665,,,,0,,,283.305
5,C_contrastive,diagnostic,global_a10.0,V3,0,0.483314,1.82711e-05,531.327,4.74424,742,0,0.095193,,,,7.01637e-11,,,97.4776
5,C_success,V1_vs_V0,global_a10.0,V1|V0,,,,,,,,,0.248984,0.446481,0.499285,,0.556094,0.920339,
5,C_failure,V1_vs_V0,global_a10.0,V1|V0,,,,,,,,,0.277272,0.465689,0.460545,,0.521429,0.923453,
5,C_contrastive,V1_vs_V0,global_a10.0,V1|V0,,,,,,,,,0.0975532,0.16812,0.731242,,0.451475,0.38846,
